date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:10	1446/1446	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Jun%202023%2009:22:09%20GMT	https://bitcypo2-chi.vercel.app/robots.txt		(from )
10:22:10	20348/20348	---MCZ	200	added ('OK')	text/html	etag:W/%22f44240b4b75b8e368d63038b38808ad7%22	https://bitcypo2-chi.vercel.app/	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/index.html	(from )
10:22:11	140421/140421	---MCZ	200	added ('OK')	text/css	etag:W/%22fee68c0f2f583161134a1fcb5950501d%22	https://bitcypo2-chi.vercel.app/css/bootstrap.min.css	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/css/bootstrap.min.css	(from https://bitcypo2-chi.vercel.app/)
10:22:11	16009/16009	---MCZ	200	added ('OK')	text/css	etag:W/%2218ab602d6f1bcd62b0393c0a8fc5fea8%22	https://bitcypo2-chi.vercel.app/css/style.css	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/css/style.css	(from https://bitcypo2-chi.vercel.app/)
10:22:11	4655/4655	---MCZ	200	added ('OK')	text/css	etag:W/%222d973ea806cc25dd39db443726ce0d91%22	https://bitcypo2-chi.vercel.app/css/responsive.css	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/css/responsive.css	(from https://bitcypo2-chi.vercel.app/)
10:22:12	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/hardeybasscrypo/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://bitcypo2-chi.vercel.app/)
10:22:12	35499/35499	---M--	200	added ('OK')	image/gif	etag:%22556e9ff845b7dd0c62dcdbbb00babb4b%22	https://bitcypo2-chi.vercel.app/images/loading.gif	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/loading.gif	(from https://bitcypo2-chi.vercel.app/)
10:22:13	20348/20348	---MCZ	200	added ('OK')	text/html	etag:W/%22f44240b4b75b8e368d63038b38808ad7%22	https://bitcypo2-chi.vercel.app/index.html	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/index-2.html	(from https://bitcypo2-chi.vercel.app/)
10:22:13	35681/35681	---MCZ	200	added ('OK')	text/html	etag:W/%22539086801d829e53f1d5271ad754ab25%22	https://bitcypo2-chi.vercel.app/list.html	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/list.html	(from https://bitcypo2-chi.vercel.app/)
10:22:13	981/981	---M--	200	added ('OK')	image/png	etag:%2281f1456ad15e51045fbc305c2d0fa9b9%22	https://bitcypo2-chi.vercel.app/images/menu_btn.png	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/menu_btn.png	(from https://bitcypo2-chi.vercel.app/)
10:22:14	1721/1721	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2234f0c9edda614bd398924586bcc9f562%22	https://bitcypo2-chi.vercel.app/images/wa1.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa1.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:15	1457/1457	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2276d86aa4b799c7786fc5bed9db503847%22	https://bitcypo2-chi.vercel.app/images/wa2.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa2.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:15	285829/285829	---M--	200	added ('OK')	image/png	etag:%22338871901828754e1b7ed62d49aee090%22	https://bitcypo2-chi.vercel.app/images/top_img.png	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/top_img.png	(from https://bitcypo2-chi.vercel.app/)
10:22:15	1183/1183	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a09c7403f3ffc577916564751fd3a96f%22	https://bitcypo2-chi.vercel.app/images/kyc.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/kyc.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:15	2239/2239	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220616a395883a901a99cfafd6fc0867f8%22	https://bitcypo2-chi.vercel.app/images/wa10.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa10.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:15	585/585	---M--	200	added ('OK')	image/svg+xml	etag:%223428796935aa5fde06b20a4423270bc1%22	https://bitcypo2-chi.vercel.app/images/wa3.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa3.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:16	4613/4613	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2226aa3309af5808cbf6672387bec1e7bf%22	https://bitcypo2-chi.vercel.app/images/wa4.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa4.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:16	1364/1364	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e59e443622e73fb78156658246f688f%22	https://bitcypo2-chi.vercel.app/images/wa5.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa5.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:16	5396/5396	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2230f2dd38d022453cc39ff2c1ac0a2c78%22	https://bitcypo2-chi.vercel.app/images/wa6.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa6.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:16	1955/1955	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268ed09a96fd1be3f5b8b8a857d836fb2%22	https://bitcypo2-chi.vercel.app/images/wa7.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa7.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:16	562/562	---M--	200	added ('OK')	image/svg+xml	etag:%22866d7d03a80f836d096cf61866a8e847%22	https://bitcypo2-chi.vercel.app/images/wa8.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa8.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:17	805/805	---M--	200	added ('OK')	image/svg+xml	etag:%224a718a91d2ebf2d9e7236c7e511e675d%22	https://bitcypo2-chi.vercel.app/images/wa9.svg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wa9.svg	(from https://bitcypo2-chi.vercel.app/)
10:22:17	87088/87088	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cbde2a48700724f03cee8c63d5911fbb%22	https://bitcypo2-chi.vercel.app/js/jquery.min.js	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/js/jquery.min.js	(from https://bitcypo2-chi.vercel.app/)
10:22:17	70808/70808	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e633210885066c625c46081cc2b339%22	https://bitcypo2-chi.vercel.app/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/js/bootstrap.bundle.min.js	(from https://bitcypo2-chi.vercel.app/)
10:22:17	11324/11324	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268c83ed206a2b972d61a89dfb6d250d0%22	https://bitcypo2-chi.vercel.app/js/jquery-3.0.0.min.js	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/js/jquery-3.0.0.min.js	(from https://bitcypo2-chi.vercel.app/)
10:22:18	3235/3235	---MCZ	200	added ('OK')	application/javascript	etag:W/%2229651ccefdb7ba09caf55a8d865c4569%22	https://bitcypo2-chi.vercel.app/js/custom.js	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/js/custom.js	(from https://bitcypo2-chi.vercel.app/)
10:22:18	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://bitcypo2-chi.vercel.app/css/font-awesome.min.css	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/css/font-awesome.min.css	(from https://bitcypo2-chi.vercel.app/css/style.css)
10:22:18	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22b2752a850d44f50036628eeaef3bfcfa%22	https://bitcypo2-chi.vercel.app/css/owl.carousel.min.css	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/css/owl.carousel.min.css	(from https://bitcypo2-chi.vercel.app/css/style.css)
10:22:19	10777/10777	---MCZ	200	added ('OK')	text/html	etag:W/%2245a260a8436da350b48c900c13261002%22	https://bitcypo2-chi.vercel.app/validity.html?type=wallet-connect	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/validity896b.html	(from https://bitcypo2-chi.vercel.app/list.html)
10:22:19	2405/2405	---M--	200	added ('OK')	image/jpeg	etag:%22c4d6e10572f79dc8c889feefd00c80d1%22	https://bitcypo2-chi.vercel.app/images/wallet-connect.jpg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/wallet-connect.jpg	(from https://bitcypo2-chi.vercel.app/list.html)
10:22:19	10777/10777	---MCZ	200	added ('OK')	text/html	etag:W/%2245a260a8436da350b48c900c13261002%22	https://bitcypo2-chi.vercel.app/validity.html?type=aeterity	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/validityfb8c.html	(from https://bitcypo2-chi.vercel.app/list.html)
10:22:20	7721/7721	---M--	200	added ('OK')	image/jpeg	etag:%22c33ad8fdcfb9e9f5da5d6958ab1f5f70%22	https://bitcypo2-chi.vercel.app/images/aeterity.jpeg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/aeterity.jpeg	(from https://bitcypo2-chi.vercel.app/list.html)
10:22:20	10777/10777	---MCZ	200	added ('OK')	text/html	etag:W/%2245a260a8436da350b48c900c13261002%22	https://bitcypo2-chi.vercel.app/validity.html?type=aion	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/validity0771.html	(from https://bitcypo2-chi.vercel.app/list.html)
10:22:20	6065/6065	---M--	200	added ('OK')	image/jpeg	etag:%220d33f6f923a024ec14630ce96e6cf49f%22	https://bitcypo2-chi.vercel.app/images/aion.jpeg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/aion.jpeg	(from https://bitcypo2-chi.vercel.app/list.html)
10:22:20	630454/630454	---M--	200	added ('OK')	image/jpeg	etag:%229070c958ca4b9c48764c4246997851df%22	https://bitcypo2-chi.vercel.app/images/body_bg.jpg	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/images/body_bg.jpg	(from https://bitcypo2-chi.vercel.app/css/style.css)
10:22:20	10777/10777	---MCZ	200	added ('OK')	text/html	etag:W/%2245a260a8436da350b48c900c13261002%22	https://bitcypo2-chi.vercel.app/validity.html?type=aktionariat	C:/My%20Web%20Sites/hardeybasscrypo/bitcypo2-chi.vercel.app/validityb52a.html	(from https://bitcypo2-chi.vercel.app/list.html)
